kode_wilayah,wilayah,judul_data,tahun,nilai
3315,Grobogan,PDRB,2020,27268.74
3578,Kota Surabaya,Pembentukan Modal Tetap Bruto,2014,104091.12
3301,Cilacap,Net Ekspor,2012,30570.26
6371,Kota Banjarmasin,Perubahan Inventori,2022,-225.87
1104,Aceh Tenggara,Perubahan Inventori,2015,-1.68
1702,Rejang Lebong,Perubahan Inventori,2015,146.08
7603,Mamasa,Pengeluaran Konsumsi Pemerintah,2022,819.98
3529,Sumenep,PDRB,2015,27156.11
9471,Kota Jayapura,Pengeluaran Konsumsi LNPRT,2016,1823.51
3206,Tasikmalaya,Net Ekspor,2010,-4548.44
7174,Kota Kotamobagu,Pengeluaran Konsumsi Rumah Tangga,2015,1304.09
1704,Kaur,Pembentukan Modal Tetap Bruto,2020,2157.67
3316,Blora,Pembentukan Modal Tetap Bruto,2012,1525.61
1771,Kota Bengkulu,PDRB,2012,11363.29
3277,Kota Cimahi,PDRB,2015,22646.62
1278,Kota Gunungsitoli,Pengeluaran Konsumsi Rumah Tangga,2012,1679.98
1803,Lampung Selatan,Perubahan Inventori,2012,288.75
3321,Demak,Perubahan Inventori,2020,231.07
8109,Buru Selatan,Pengeluaran Konsumsi Rumah Tangga,2014,786.25
6501,Malinau,Pengeluaran Konsumsi Rumah Tangga,2022,2664.59
1274,Kota Tebing Tinggi,Pengeluaran Konsumsi Pemerintah,2023,1336.87
6110,Melawi,Pembentukan Modal Tetap Bruto,2014,948.99
9205,Tambrauw,Pembentukan Modal Tetap Bruto,2019,63.77
1605,Musi Rawas,PDRB,2010,9062.37
3506,Kediri,Net Ekspor,2024,-8155.43
7305,Takalar,PDRB,2015,6822.49
1306,Padang Pariaman,PDRB,2019,21255.47
3329,Brebes,Pengeluaran Konsumsi Rumah Tangga,2015,26311.29
7325,Luwu Timur,Pengeluaran Konsumsi Pemerintah,2010,462.2
6401,Paser,Pengeluaran Konsumsi Pemerintah,2012,1028.9
3309,Boyolali,PDRB,2016,25756.72
7413,Muna Barat,Net Ekspor,2018,-1243.05
1703,Bengkulu Utara,Pembentukan Modal Tetap Bruto,2021,4028.3
7171,Kota Manado,PDRB,2010,14078.27
3508,Lumajang,Pembentukan Modal Tetap Bruto,2019,7200.08
7604,Mamuju,Pembentukan Modal Tetap Bruto,2014,2305.63
7304,Jeneponto,Pengeluaran Konsumsi Pemerintah,2023,1387.39
5311,Ende,Pengeluaran Konsumsi LNPRT,2023,188.91
1473,Kota Dumai,Net Ekspor,2010,2733.24
9104,Teluk Bintuni,Perubahan Inventori,2023,186.72
1113,Gayo Lues,Perubahan Inventori,2015,0.0
6301,Tanah Laut,Pembentukan Modal Tetap Bruto,2024,4083.81
3203,Cianjur,Net Ekspor,2011,-5116.72
5309,Flores Timur,Pengeluaran Konsumsi LNPRT,2016,143.54
8103,Maluku Tengah,PDRB,2016,7036.81
3305,Kebumen,Pengeluaran Konsumsi Rumah Tangga,2020,20715.27
7471,Kota Kendari,Perubahan Inventori,2012,-93.08
1114,Aceh Tamiang,Pengeluaran Konsumsi Rumah Tangga,2018,4539.27
1101,Simeulue,Net Ekspor,2019,-1296.4
3502,Ponorogo,PDRB,2013,12153.62
3578,Kota Surabaya,PDRB,2011,261772.34
6202,Kotawaringin Timur,Perubahan Inventori,2017,128.65
6104,Mempawah,Pengeluaran Konsumsi Pemerintah,2019,1591.72
9605,Paniai,Pengeluaran Konsumsi Rumah Tangga,2019,3335.81
7310,Barru,Pengeluaran Konsumsi Rumah Tangga,2017,3660.64
1308,Lima Puluh Kota,PDRB,2010,6785.54
1205,Tapanuli Utara,Perubahan Inventori,2017,170.37
7203,Morowali,Pembentukan Modal Tetap Bruto,2016,9638.62
1805,Lampung Tengah,Pengeluaran Konsumsi Rumah Tangga,2020,38058.28
3526,Bangkalan,Pengeluaran Konsumsi Rumah Tangga,2017,14709.74
7407,Wakatobi,Pengeluaran Konsumsi Pemerintah,2015,676.49
1504,Batang Hari,Net Ekspor,2012,813.48
9471,Kota Jayapura,Perubahan Inventori,2019,37.09
3309,Boyolali,Pengeluaran Konsumsi Rumah Tangga,2020,25524.13
3401,Kulon Progo,Pembentukan Modal Tetap Bruto,2012,1701.96
5305,Timor Tengah Utara,Pengeluaran Konsumsi Pemerintah,2016,822.83
3316,Blora,Pembentukan Modal Tetap Bruto,2019,3037.22
1108,Aceh Besar,Net Ekspor,2010,-1122.25
1105,Aceh Timur,PDRB,2011,7695.12
1276,Kota Binjai,Pengeluaran Konsumsi Pemerintah,2020,724.37
5204,Sumbawa,Pengeluaran Konsumsi Pemerintah,2014,1494.17
1672,Kota Prabumulih,Pengeluaran Konsumsi Pemerintah,2023,1135.49
3524,Lamongan,Pengeluaran Konsumsi Rumah Tangga,2018,27010.97
7207,Buol,Pembentukan Modal Tetap Bruto,2022,2413.0
7104,Kepulauan Talaud,Pembentukan Modal Tetap Bruto,2018,633.93
3506,Kediri,Pengeluaran Konsumsi LNPRT,2020,1007.84
7212,Morowali Utara,Pengeluaran Konsumsi LNPRT,2024,143.77
3671,Kota Tangerang,Pengeluaran Konsumsi Pemerintah,2023,4182.99
1509,Bungo,Pembentukan Modal Tetap Bruto,2019,5850.1
3215,Karawang,PDRB,2019,230201.34
7104,Kepulauan Talaud,Pengeluaran Konsumsi Rumah Tangga,2011,769.98
1709,Bengkulu Tengah,PDRB,2018,4253.69
6211,Gunung Mas,Net Ekspor,2024,-746.12
7403,Konawe,PDRB,2015,6103.27
7210,Sigi,Pengeluaran Konsumsi LNPRT,2016,143.16
7415,Buton Selatan,Pengeluaran Konsumsi Pemerintah,2010,0.0
8106,Seram Bagian Barat,Pengeluaran Konsumsi LNPRT,2021,82.85
7471,Kota Kendari,Pengeluaran Konsumsi Rumah Tangga,2016,9317.31
7371,Kota Makasar,Pembentukan Modal Tetap Bruto,2021,94576.6
6303,Banjar,Pengeluaran Konsumsi LNPRT,2014,104.7
7212,Morowali Utara,Perubahan Inventori,2023,119.23
5320,Sabu Raijua,Pengeluaran Konsumsi Pemerintah,2014,264.42
5307,Alor,Pengeluaran Konsumsi Rumah Tangga,2021,2325.41
1114,Aceh Tamiang,Pengeluaran Konsumsi Pemerintah,2022,1269.97
7505,Gorontalo Utara,Pengeluaran Konsumsi Pemerintah,2015,556.4
6202,Kotawaringin Timur,Pembentukan Modal Tetap Bruto,2024,14026.89
7471,Kota Kendari,Pengeluaran Konsumsi LNPRT,2017,173.51
3204,Bandung,Pengeluaran Konsumsi LNPRT,2020,589.51
1118,Pidie Jaya,Pembentukan Modal Tetap Bruto,2014,873.28
7110,Bolaang Mongondow Selatan,Pengeluaran Konsumsi Pemerintah,2021,362.24
3505,Blitar,Perubahan Inventori,2014,963.7
6402,Kutai Barat,Perubahan Inventori,2019,29.01
1371,Kota Padang,Perubahan Inventori,2017,21.06
9409,Biak Numfor,Pengeluaran Konsumsi Rumah Tangga,2020,4199.76
3319,Kudus,Perubahan Inventori,2010,2275.76
1808,Tulangbawang,Pengeluaran Konsumsi Rumah Tangga,2010,5577.64
6211,Gunung Mas,Pembentukan Modal Tetap Bruto,2020,3145.46
1502,Merangin,Pengeluaran Konsumsi LNPRT,2017,43.53
1205,Tapanuli Utara,Pengeluaran Konsumsi Rumah Tangga,2023,6654.54
8101,Maluku Tenggara Barat,Net Ekspor,2018,-2167.29
3673,Kota Serang,Perubahan Inventori,2014,4.97
3173,Kota Jakarta Pusat,Pengeluaran Konsumsi Pemerintah,2022,218361.7
6110,Melawi,Perubahan Inventori,2019,123.39
1808,Tulangbawang,Pengeluaran Konsumsi Rumah Tangga,2014,8320.3
3513,Probolinggo,PDRB,2021,35605.52
3526,Bangkalan,Pengeluaran Konsumsi Rumah Tangga,2010,8302.07
8104,Buru,Net Ekspor,2010,-644.97
3174,Kota Jakarta Barat,PDRB,2012,228382.46
1118,Pidie Jaya,Pengeluaran Konsumsi LNPRT,2011,60.55
3522,Bojonegoro,Pengeluaran Konsumsi LNPRT,2019,260.73
5309,Flores Timur,Pembentukan Modal Tetap Bruto,2012,587.04
9606,Intan Jaya,Perubahan Inventori,2016,1.5
9203,Sorong Selatan,Pembentukan Modal Tetap Bruto,2014,435.49
7307,Sinjai,Pengeluaran Konsumsi LNPRT,2024,215.98
6504,Nunukan,Pengeluaran Konsumsi Pemerintah,2012,796.85
9101,Fakfak,Pengeluaran Konsumsi Pemerintah,2012,1173.19
1310,Solok Selatan,Pembentukan Modal Tetap Bruto,2020,1656.23
1471,Kota Pekanbaru,Perubahan Inventori,2019,1262.95
1708,Kepahiang,Perubahan Inventori,2017,114.03
3374,Kota Semarang,PDRB,2020,188731.69
1611,Empat Lawang,Pembentukan Modal Tetap Bruto,2024,2056.37
1208,Asahan,Pengeluaran Konsumsi Rumah Tangga,2019,20849.6
3325,Batang,Pengeluaran Konsumsi Pemerintah,2022,1584.13
5102,Tabanan,Pembentukan Modal Tetap Bruto,2015,3487.55
1105,Aceh Timur,Perubahan Inventori,2017,78.11
1771,Kota Bengkulu,Pengeluaran Konsumsi Rumah Tangga,2024,19817.39
5306,Belu,Net Ekspor,2019,-1937.83
1601,Ogan Komering Ulu,Net Ekspor,2013,-2409.48
8108,Maluku Barat Daya,Perubahan Inventori,2017,10.94
1571,Kota Jambi,Pengeluaran Konsumsi Pemerintah,2022,6809.51
3574,Kota Probolinggo,Pengeluaran Konsumsi Rumah Tangga,2020,8268.65
1105,Aceh Timur,Pengeluaran Konsumsi LNPRT,2020,316.86
5306,Belu,Pengeluaran Konsumsi Rumah Tangga,2018,2858.8
6301,Tanah Laut,Net Ekspor,2020,2569.6
5318,Nagekeo,Pembentukan Modal Tetap Bruto,2022,837.67
7316,Enrekang,Pengeluaran Konsumsi Pemerintah,2015,934.13
1502,Merangin,Pengeluaran Konsumsi Rumah Tangga,2012,5142.08
7406,Bombana,Pengeluaran Konsumsi LNPRT,2020,82.93
9603,Deiyai,Pengeluaran Konsumsi Rumah Tangga,2024,1270.55
1212,Deli Serdang,Pengeluaran Konsumsi Pemerintah,2020,3942.81
1905,Bangka Selatan,Perubahan Inventori,2012,113.05
1271,Kota Sibolga,Pengeluaran Konsumsi Pemerintah,2019,684.92
3602,Lebak,Net Ekspor,2011,666.39
1704,Kaur,Pengeluaran Konsumsi Pemerintah,2019,752.15
7406,Bombana,Perubahan Inventori,2015,160.27
5206,Bima,Pengeluaran Konsumsi Rumah Tangga,2018,7593.48
3375,Kota Pekalongan,Pembentukan Modal Tetap Bruto,2013,2475.0
8106,Seram Bagian Barat,Pembentukan Modal Tetap Bruto,2010,409.14
7271,Kota Palu,Perubahan Inventori,2010,150.97
3373,Kota Salatiga,Net Ekspor,2014,-2399.73
1210,Dairi,PDRB,2018,8560.78
3328,Tegal,Pengeluaran Konsumsi LNPRT,2023,682.99
1703,Bengkulu Utara,Net Ekspor,2024,-1187.84
1377,Kota Pariaman,Pengeluaran Konsumsi Rumah Tangga,2024,3522.81
1708,Kepahiang,Pembentukan Modal Tetap Bruto,2012,997.5
9426,Waropen,Pengeluaran Konsumsi Pemerintah,2014,434.39
6504,Nunukan,Pembentukan Modal Tetap Bruto,2023,7728.67
3371,Kota Magelang,Pembentukan Modal Tetap Bruto,2021,4678.08
8208,Pulau Taliabu,Pengeluaran Konsumsi Rumah Tangga,2021,700.89
9606,Intan Jaya,Net Ekspor,2021,-762.69
5312,Ngada,Perubahan Inventori,2018,107.47
7304,Jeneponto,Net Ekspor,2021,-1917.11
7371,Kota Makasar,Pengeluaran Konsumsi Pemerintah,2020,15419.64
1307,Agam,Pengeluaran Konsumsi Pemerintah,2017,1547.31
7307,Sinjai,Perubahan Inventori,2024,10.73
3522,Bojonegoro,Net Ekspor,2018,26976.24
2104,Lingga,Net Ekspor,2013,-677.24
3471,Kota Yogyakarta,Pengeluaran Konsumsi Rumah Tangga,2022,23206.88
5108,Buleleng,Net Ekspor,2021,3580.41
7104,Kepulauan Talaud,PDRB,2019,2207.73
6211,Gunung Mas,Pembentukan Modal Tetap Bruto,2015,2193.32
3320,Jepara,Pengeluaran Konsumsi LNPRT,2023,684.4
6305,Tapin,Perubahan Inventori,2016,-166.75
7472,Kota Baubau,Pengeluaran Konsumsi Pemerintah,2015,908.13
6203,Kapuas,Pembentukan Modal Tetap Bruto,2021,7241.22
9204,Maybrat,Pengeluaran Konsumsi Pemerintah,2024,2255.47
8272,Kota Tidore Kepulauan,PDRB,2020,2939.57
1707,Lebong,Pembentukan Modal Tetap Bruto,2010,801.89
5308,Lembata,Perubahan Inventori,2017,5.28
1203,Tapanuli Selatan,Perubahan Inventori,2017,317.73
2105,Kepulauan Anambas,Net Ekspor,2014,10104.23
1507,Tanjung Jabung Barat,Perubahan Inventori,2011,-528.08
5306,Belu,Pengeluaran Konsumsi Pemerintah,2020,1108.12
3515,Sidoarjo,Perubahan Inventori,2018,1490.67
3371,Kota Magelang,Perubahan Inventori,2012,284.01
3507,Malang,Pengeluaran Konsumsi Pemerintah,2013,3263.85
5318,Nagekeo,Pengeluaran Konsumsi LNPRT,2022,182.03
7210,Sigi,Pengeluaran Konsumsi Pemerintah,2016,1082.27
9608,Puncak Jaya,Perubahan Inventori,2014,-3.22
1701,Bengkulu Selatan,Pengeluaran Konsumsi Rumah Tangga,2011,1527.2
1310,Solok Selatan,Pengeluaran Konsumsi Pemerintah,2023,675.11
9607,Puncak,Pengeluaran Konsumsi LNPRT,2014,10.92
5207,Sumbawa Barat,PDRB,2023,29641.67
6305,Tapin,PDRB,2021,9387.41
6112,Kubu Raya,Pembentukan Modal Tetap Bruto,2022,12267.36
9606,Intan Jaya,Pengeluaran Konsumsi Pemerintah,2013,222.36
3277,Kota Cimahi,Pengeluaran Konsumsi Rumah Tangga,2021,23996.23
3319,Kudus,Pengeluaran Konsumsi LNPRT,2020,346.11
3215,Karawang,Pembentukan Modal Tetap Bruto,2021,40189.52
3672,Kota Cilegon,Pengeluaran Konsumsi Pemerintah,2023,1909.25
1101,Simeulue,Pengeluaran Konsumsi Rumah Tangga,2018,1492.82
9409,Biak Numfor,Pembentukan Modal Tetap Bruto,2019,1015.3
1406,Kampar,Pengeluaran Konsumsi Pemerintah,2024,3428.67
3601,Pandeglang,Pembentukan Modal Tetap Bruto,2018,1897.12
6403,Kutai Kartanegara,Pengeluaran Konsumsi LNPRT,2020,567.7
1306,Padang Pariaman,Pengeluaran Konsumsi Pemerintah,2013,1219.56
1503,Sarolangun,PDRB,2017,13451.75
1305,Tanah Datar,PDRB,2012,7406.29
1903,Bangka Barat,PDRB,2023,17662.55
3328,Tegal,Pembentukan Modal Tetap Bruto,2011,4094.74
5317,Sumba Barat Daya,Pengeluaran Konsumsi Pemerintah,2016,827.46
6109,Sekadau,Perubahan Inventori,2020,74.4
6501,Malinau,Pembentukan Modal Tetap Bruto,2022,4376.92
3517,Jombang,Pengeluaran Konsumsi Pemerintah,2014,2324.47
6212,Barito Timur,Pengeluaran Konsumsi LNPRT,2012,21.18
3210,Majalengka,Perubahan Inventori,2017,908.04
1405,Siak,PDRB,2010,52420.35
7208,Parigi Moutong,Pengeluaran Konsumsi Pemerintah,2019,2122.29
3312,Wonogiri,Pengeluaran Konsumsi Pemerintah,2011,1228.47
6501,Malinau,Net Ekspor,2018,1834.16
9605,Paniai,Net Ekspor,2013,-1207.05
1572,Kota Sungai Penuh,Pengeluaran Konsumsi Rumah Tangga,2013,2007.44
1311,Dharmasraya,Pengeluaran Konsumsi LNPRT,2014,70.09
7172,Kota Bitung,Pengeluaran Konsumsi Rumah Tangga,2023,8412.31
1801,Lampung Barat,Pengeluaran Konsumsi Pemerintah,2021,1351.83
1701,Bengkulu Selatan,Pembentukan Modal Tetap Bruto,2018,2078.26
9608,Puncak Jaya,Perubahan Inventori,2021,3.89
2172,Kota Tanjung Pinang,Pengeluaran Konsumsi LNPRT,2020,74.59
3327,Pemalang,Pengeluaran Konsumsi LNPRT,2018,414.45
3471,Kota Yogyakarta,Pengeluaran Konsumsi Pemerintah,2015,5703.22
3576,Kota Mojokerto,Pengeluaran Konsumsi LNPRT,2020,60.74
7414,Buton Tengah,PDRB,2024,3170.06
6371,Kota Banjarmasin,Net Ekspor,2019,-588.28
1402,Indragiri Hulu,Pengeluaran Konsumsi Pemerintah,2010,810.59
1223,Labuhan Batu Utara,Net Ekspor,2024,9578.14
5272,Kota Bima,Pembentukan Modal Tetap Bruto,2013,864.99
1205,Tapanuli Utara,Perubahan Inventori,2021,240.17
3326,Pekalongan,Pengeluaran Konsumsi Rumah Tangga,2024,23032.76
6212,Barito Timur,Pengeluaran Konsumsi Rumah Tangga,2011,1317.67
3208,Kuningan,Pembentukan Modal Tetap Bruto,2018,5833.39
9707,Yahukimo,Pengeluaran Konsumsi LNPRT,2013,11.16
7604,Mamuju,Net Ekspor,2021,-463.56
1104,Aceh Tenggara,Pengeluaran Konsumsi LNPRT,2018,182.27
1808,Tulangbawang,Pembentukan Modal Tetap Bruto,2017,6450.17
9703,Lanny Jaya,Pengeluaran Konsumsi Pemerintah,2022,714.89
1220,Padang Lawas Utara,Net Ekspor,2013,91.94
1673,Kota Pagar Alam,Pengeluaran Konsumsi LNPRT,2015,41.87
9271,Kota Sorong,Pengeluaran Konsumsi Pemerintah,2012,1218.36
1114,Aceh Tamiang,Pengeluaran Konsumsi LNPRT,2019,139.72
5201,Lombok Barat,Pembentukan Modal Tetap Bruto,2015,4277.91
5314,Rote Ndao,Pengeluaran Konsumsi Pemerintah,2015,686.99
6302,Kota Baru,Perubahan Inventori,2015,4.91
3674,Kota Tangerang Selatan,Pengeluaran Konsumsi Rumah Tangga,2014,39288.84
1202,Mandailing Natal,PDRB,2020,13843.0
3327,Pemalang,Pengeluaran Konsumsi Rumah Tangga,2010,9915.47
3575,Kota Pasuruan,Perubahan Inventori,2019,2.65
1905,Bangka Selatan,PDRB,2021,9776.17
6206,Sukamara,PDRB,2015,2884.82
5315,Manggarai Barat,Pengeluaran Konsumsi LNPRT,2024,87.71
3325,Batang,PDRB,2021,23125.76
7316,Enrekang,Net Ekspor,2020,-1468.59
1175,Kota Subulussalam,Pengeluaran Konsumsi LNPRT,2020,56.03
7415,Buton Selatan,Net Ekspor,2014,-239.7
6303,Banjar,Pengeluaran Konsumsi Rumah Tangga,2014,7602.9
3171,Kota Jakarta Selatan,Pembentukan Modal Tetap Bruto,2015,178054.97
9111,Manokwari Selatan,PDRB,2016,648.13
3172,Kota Jakarta Timur,PDRB,2021,500418.64
1671,Kota Palembang,Pengeluaran Konsumsi LNPRT,2013,1118.31
5320,Sabu Raijua,Pengeluaran Konsumsi Pemerintah,2020,419.94
6102,Bengkayang,PDRB,2013,5061.3
8109,Buru Selatan,Net Ekspor,2022,-1537.67
7205,Donggala,Pembentukan Modal Tetap Bruto,2014,3007.0
7412,Konawe Kepulauan,Perubahan Inventori,2019,8.87
8103,Maluku Tengah,Pengeluaran Konsumsi Rumah Tangga,2019,7194.92
7372,Kota Parepare,Pengeluaran Konsumsi Rumah Tangga,2010,1571.31
6208,Seruyan,PDRB,2020,8768.55
3512,Situbondo,PDRB,2015,14795.65
1102,Aceh Singkil,Pengeluaran Konsumsi Rumah Tangga,2019,1659.15
1201,Nias,Net Ekspor,2018,-1611.68
7103,Kepulauan Sangihe,PDRB,2013,2429.46
6210,Pulang Pisau,Pengeluaran Konsumsi Rumah Tangga,2018,2437.82
3576,Kota Mojokerto,Net Ekspor,2017,-1260.64
1608,Ogan Komering Ulu Selatan,Pengeluaran Konsumsi Pemerintah,2015,843.35
3175,Kota Jakarta Utara,Pengeluaran Konsumsi LNPRT,2019,13960.73
1901,Bangka,Pengeluaran Konsumsi Pemerintah,2011,656.13
7315,Pinrang,PDRB,2014,11366.88
1603,Muara Enim,Pengeluaran Konsumsi LNPRT,2014,696.26
1872,Kota Metro,Pembentukan Modal Tetap Bruto,2010,529.87
1902,Belitung,Pembentukan Modal Tetap Bruto,2010,973.99
1272,Kota Tanjung Balai,Pembentukan Modal Tetap Bruto,2017,2456.9
6309,Tabalong,Net Ekspor,2020,8001.47
1203,Tapanuli Selatan,PDRB,2014,8757.77
3471,Kota Yogyakarta,PDRB,2018,33787.58
1404,Pelalawan,Pengeluaran Konsumsi Rumah Tangga,2013,8735.83
7109,Minahasa Tenggara,Pengeluaran Konsumsi Rumah Tangga,2012,1543.86
3314,Sragen,Pembentukan Modal Tetap Bruto,2014,5368.82
3209,Cirebon,Perubahan Inventori,2011,948.05
7325,Luwu Timur,Perubahan Inventori,2012,322.04
5103,Badung,Pengeluaran Konsumsi Rumah Tangga,2020,24368.64
1613,Musi Rawas Utara,Pengeluaran Konsumsi LNPRT,2012,46.69
3215,Karawang,Net Ekspor,2019,87321.69
3527,Sampang,Pengeluaran Konsumsi Pemerintah,2023,1886.39
5315,Manggarai Barat,Pengeluaran Konsumsi Rumah Tangga,2019,3192.34
8205,Halmahera Utara,Pengeluaran Konsumsi LNPRT,2020,69.97
3215,Karawang,Pembentukan Modal Tetap Bruto,2022,43734.23
3301,Cilacap,Pengeluaran Konsumsi Pemerintah,2024,3856.32
1375,Kota Bukittinggi,Pengeluaran Konsumsi LNPRT,2022,92.22
3577,Kota Madiun,PDRB,2019,14107.34
1401,Kuantan Singingi,Net Ekspor,2017,1515.68
1613,Musi Rawas Utara,Pengeluaran Konsumsi Rumah Tangga,2016,4449.54
1116,Aceh Jaya,Pengeluaran Konsumsi Pemerintah,2018,856.73
6308,Hulu Sungai Utara,Pembentukan Modal Tetap Bruto,2010,568.88
9606,Intan Jaya,Perubahan Inventori,2012,0.63
3303,Purbalingga,Pengeluaran Konsumsi Pemerintah,2016,1559.7
1174,Kota Lhokseumawe,PDRB,2024,11848.24
6474,Kota Bontang,Pembentukan Modal Tetap Bruto,2023,9893.31
3310,Klaten,Pembentukan Modal Tetap Bruto,2018,8109.98
6172,Kota Singkawang,Perubahan Inventori,2010,37.33
1374,Kota Padang Panjang,PDRB,2012,1899.57
6107,Sintang,Pengeluaran Konsumsi Pemerintah,2021,2097.44
9502,Boven Digoel,Pembentukan Modal Tetap Bruto,2022,2185.82
5271,Kota Mataram,Pengeluaran Konsumsi Pemerintah,2019,2902.99
7110,Bolaang Mongondow Selatan,Pengeluaran Konsumsi Rumah Tangga,2020,1054.55
7371,Kota Makasar,Pengeluaran Konsumsi Rumah Tangga,2016,69151.95
7303,Bantaeng,Pengeluaran Konsumsi LNPRT,2010,45.9
3213,Subang,Pengeluaran Konsumsi Rumah Tangga,2024,36991.59
3520,Magetan,Pembentukan Modal Tetap Bruto,2010,1907.57
7505,Gorontalo Utara,Net Ekspor,2019,-504.03
6111,Kayong Utara,Pengeluaran Konsumsi Rumah Tangga,2015,1611.25
7605,Mamuju Utara,Pengeluaran Konsumsi Pemerintah,2018,724.11
1101,Simeulue,Pengeluaran Konsumsi Pemerintah,2010,388.63
3577,Kota Madiun,Pembentukan Modal Tetap Bruto,2011,1301.16
7371,Kota Makasar,Pembentukan Modal Tetap Bruto,2024,109308.52
7101,Bolaang Mongondow,Pengeluaran Konsumsi Rumah Tangga,2015,2814.32
8207,Pulau Morotai,Pengeluaran Konsumsi Pemerintah,2021,359.72
9503,Mappi,Pengeluaran Konsumsi Pemerintah,2019,1005.45
6311,Balangan,Perubahan Inventori,2022,-26.26
7173,Kota Tomohon,Pembentukan Modal Tetap Bruto,2018,2157.45
1301,Kepulauan Mentawai,Pembentukan Modal Tetap Bruto,2019,1434.45
